id,class,segmentation,case_id,day_id,slice_id,path,height,width
case139_day0_slice_0001,0,nan,139,0,0001,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0001_234_234_1.50_1.50.png,234,234
case139_day0_slice_0001,1,nan,139,0,0001,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0001_234_234_1.50_1.50.png,234,234
case139_day0_slice_0001,2,nan,139,0,0001,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0001_234_234_1.50_1.50.png,234,234
case139_day0_slice_0002,0,nan,139,0,0002,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0002_234_234_1.50_1.50.png,234,234
case139_day0_slice_0002,1,nan,139,0,0002,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0002_234_234_1.50_1.50.png,234,234
case139_day0_slice_0002,2,nan,139,0,0002,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0002_234_234_1.50_1.50.png,234,234
case139_day0_slice_0003,0,nan,139,0,0003,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0003_234_234_1.50_1.50.png,234,234
case139_day0_slice_0003,1,nan,139,0,0003,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0003_234_234_1.50_1.50.png,234,234
case139_day0_slice_0003,2,nan,139,0,0003,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0003_234_234_1.50_1.50.png,234,234
case139_day0_slice_0004,0,nan,139,0,0004,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0004_234_234_1.50_1.50.png,234,234
case139_day0_slice_0004,1,nan,139,0,0004,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0004_234_234_1.50_1.50.png,234,234
case139_day0_slice_0004,2,nan,139,0,0004,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0004_234_234_1.50_1.50.png,234,234
case139_day0_slice_0005,0,nan,139,0,0005,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0005_234_234_1.50_1.50.png,234,234
case139_day0_slice_0005,1,nan,139,0,0005,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0005_234_234_1.50_1.50.png,234,234
case139_day0_slice_0005,2,nan,139,0,0005,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0005_234_234_1.50_1.50.png,234,234
case139_day0_slice_0006,0,nan,139,0,0006,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0006_234_234_1.50_1.50.png,234,234
case139_day0_slice_0006,1,nan,139,0,0006,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0006_234_234_1.50_1.50.png,234,234
case139_day0_slice_0006,2,nan,139,0,0006,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0006_234_234_1.50_1.50.png,234,234
case139_day0_slice_0007,0,nan,139,0,0007,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0007_234_234_1.50_1.50.png,234,234
case139_day0_slice_0007,1,nan,139,0,0007,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0007_234_234_1.50_1.50.png,234,234
case139_day0_slice_0007,2,nan,139,0,0007,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0007_234_234_1.50_1.50.png,234,234
case139_day0_slice_0008,0,nan,139,0,0008,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0008_234_234_1.50_1.50.png,234,234
case139_day0_slice_0008,1,nan,139,0,0008,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0008_234_234_1.50_1.50.png,234,234
case139_day0_slice_0008,2,nan,139,0,0008,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0008_234_234_1.50_1.50.png,234,234
case139_day0_slice_0009,0,nan,139,0,0009,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0009_234_234_1.50_1.50.png,234,234
case139_day0_slice_0009,1,nan,139,0,0009,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0009_234_234_1.50_1.50.png,234,234
case139_day0_slice_0009,2,nan,139,0,0009,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0009_234_234_1.50_1.50.png,234,234
case139_day0_slice_0010,0,nan,139,0,0010,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0010_234_234_1.50_1.50.png,234,234
case139_day0_slice_0010,1,nan,139,0,0010,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0010_234_234_1.50_1.50.png,234,234
case139_day0_slice_0010,2,nan,139,0,0010,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0010_234_234_1.50_1.50.png,234,234
case139_day0_slice_0011,0,nan,139,0,0011,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0011_234_234_1.50_1.50.png,234,234
case139_day0_slice_0011,1,nan,139,0,0011,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0011_234_234_1.50_1.50.png,234,234
case139_day0_slice_0011,2,nan,139,0,0011,../BD-Image-Segmentation-Comp/train/case139/case139_day0/scans/slice_0011_234_234_1.50_1.50.png,234,234
